1.000054824867447900e+00,1.000037715516862935e+00,1.000023025022481304e+00,1.000015664518857816e+00,1.000011889168284540e+00,1.000009499810575742e+00,1.000008111370314312e+00,1.000007292249607049e+00,1.000006784451775044e+00,1.000006467545280664e+00
1.000048071345003065e+00,1.000031470731453487e+00,1.000017385940999093e+00,1.000010453546168909e+00,1.000006969289710890e+00,1.000004815287785842e+00,1.000003598243965008e+00,1.000002901842682590e+00,1.000002483596319269e+00,1.000002230648224355e+00
1.000043875665599158e+00,1.000027803195975284e+00,1.000014340360930953e+00,1.000007844823768810e+00,1.000004657019716969e+00,1.000002742721355586e+00,1.000001700440707353e+00,1.000001129364060271e+00,1.000000802710282022e+00,1.000000615263602732e+00
1.000042184181539451e+00,1.000026390872007065e+00,1.000013255413269464e+00,1.000006989222652409e+00,1.000003956892194346e+00,1.000002168281541648e+00,1.000001217669337583e+00,1.000000712373209311e+00,1.000000433832779256e+00,1.000000280820475096e+00
1.000041415518274857e+00,1.000025761836126792e+00,1.000012789910458944e+00,1.000006638185130248e+00,1.000003683418238865e+00,1.000001957500659122e+00,1.000001052612452535e+00,1.000000580131577665e+00,1.000000325598110695e+00,1.000000189771919068e+00
1.000040976760335321e+00,1.000025405787469346e+00,1.000012530685809642e+00,1.000006446710188124e+00,1.000003537843676682e+00,1.000001849023109513e+00,1.000000971189873633e+00,1.000000518126018090e+00,1.000000277798194670e+00,1.000000152142296095e+00
1.000040750694153546e+00,1.000025223025943211e+00,1.000012398608900455e+00,1.000006350093167296e+00,1.000003465248826551e+00,1.000001795842275110e+00,1.000000932167433687e+00,1.000000489264728953e+00,1.000000256370977114e+00,1.000000136037436205e+00
1.000040635106294706e+00,1.000025129725723216e+00,1.000012331392319931e+00,1.000006301124135355e+00,1.000003428641192516e+00,1.000001769224498016e+00,1.000000912834926092e+00,1.000000475160855329e+00,1.000000246092388911e+00,1.000000128497450236e+00
1.000040574665789661e+00,1.000025080971689073e+00,1.000012296314986449e+00,1.000006275614354623e+00,1.000003409612622463e+00,1.000001755433721273e+00,1.000000902864058405e+00,1.000000467931196901e+00,1.000000240868291757e+00,1.000000124709391702e+00
1.000040543752248379e+00,1.000025056043025051e+00,1.000012278389866838e+00,1.000006262588830852e+00,1.000003399906062240e+00,1.000001748409081292e+00,1.000000897795287891e+00,1.000000464266376898e+00,1.000000238230484451e+00,1.000000122806864455e+00
